Word ID,Dialect,Coptic Form,Coptic Transcription,Number,Gender,Coptic Meaning (Crum),Class,Subclass,Property Type,Literal Meaning (Kilani 2026),Vocalic Pattern,Interpretation (Kilani 2026),Suffix,Distinctive Vowel,Root ID,Root Type,TLA ID,TLA en,TLA de,TLA - date first attestation
35,S,ⲧⲱⲃϩ,tóbᵊh,0 | –,0 | –,"[intr:] pray, entreat  | [tr:] entreat, console",action , with direct object,active,,cv́cvc,các(v)c,−ỷ,a,d.b.ḥ,dynamic,178750.0,to be in need of; to ask for; to requisition,bedürfen; erbitten,2686
38,S,ϣⲱⲡⲉ,šópə,0 | –,0 | –,"[intr:] become, befall  | (impersonal), befall",action , no direct object,other,,cv́cvc,các(v)c,−ỷ,a,ḫ.p.r,other,116230.0,to come into being; to become; to occur; to happen,werden; entstehen; geschehen; existieren,2532
142,S,ϣⲡⲏⲣⲉ,špérə,1 | sg.,2 | f.,"wonder, amazement",abstract , from quality,unclear,the happening one,cvcv́cvt,cvcÉːcvt,−ỷ,E,ḫ.p.r,other,116230.0,to come into being; to become; to occur; to happen,werden; entstehen; geschehen; existieren,2532
5552,S,ϣⲟⲣⲡ,šɔ́rp(ᵊ),1 | sg.,1 | m.,"earliest, first (adj/noun)",quality,—,qualitative,the in-front one,cv́ccvỷ (f. cv́ccvỷt),cáccvỷ,+ỷ,a,ḫ.r.p,descriptive/incohative,120150.0,to be in front; to govern; to control; to administer,leiten; beaufsichtigen,2494
5552,S,ϣⲟⲣⲡⲉ,šɔ́rpə,1 | sg.,2 | f.,"earliest, first (adj/noun)",quality,—,qualitative,the in-front one,cv́ccvỷt (m. cv́ccvỷ),cáccvỷt,+ỷ,a,ḫ.r.p,descriptive/incohative,120150.0,to be in front; to govern; to control; to administer,leiten; beaufsichtigen,2494
40,S,ϣⲱⲣⲡ,šórp,0 | –,0 | –,[intr:] [tr: refl:] be early,action , with direct object,qualitative,,cv́cvc,các(v)c,−ỷ,a,ḫ.r.p,descriptive/incohative,120150.0,to be in front; to govern; to control; to administer,leiten; beaufsichtigen,2494
96,S,ⲛⲟⲩⲧⲉ,nútə,1 | sg.,1 | m.,"god, goddess (also as adj: godly, divine)",concrete , deity,unclear,the divine one? the one behaving divinely?,cv́cvc (f. cvcv́cvt,cácːac,−ỷ,a,n.ṯ.r,dynamic/resultative,90400.0,to be divine; to make divine; perhaps to behave divinely?,göttlich sein; göttlich machen,2345
96,S,ⲛⲧⲱⲣⲉ,nᵊtórə,1 | sg.,2 | f.,"god, goddess (also as adj: godly, divine)",concrete , deity,unclear,the divine one? the one behaving divinely?,cvcv́cvt (m. cv́cvc),cacːácvt,−ỷ,a,n.ṯ.r,dynamic/resultative,90400.0,to be divine; to make divine; perhaps to behave divinely?,göttlich sein; göttlich machen,2494
103,S,ⲟⲩⲱϩ,wóh(ᵊ),0 | –,0 | –,"[intr:] [tr:] put, set, be | [intr:] be placed, dwell ",action , with direct object,active/qualitative,,cv́cvc,các(v)c,−ỷ,a,w.ꜣ.ḥ,dynamic/resultative,43010.0,to lay down; to offer; to endure,legen; dauern; opfern; zurücklassen,2613
113,S,ϩⲱⲡ,hóp(ᵊ),0 | –,0 | –,"[tr:] [intr:] be hidden, hide",action , with direct object,active,,cv́cvc,các(v)c,−ỷ,a,ḥ.ꜣ.p,dynamic,101300.0,to hide; to keep secret,verbergen; geheim halten,2065
